,PRCP,SNWD,TAVG,TMAX,TMIN,century,date,month,month_no,year
42,2.7,,-0.1,0.7,-1.7,18,1881-02-12,1881-02-01,2,1881-01-01
43,0.1,,0.0,0.7,-0.6,18,1881-02-13,1881-02-01,2,1881-01-01
44,0.0,,-2.4,-1.2,-2.9,18,1881-02-14,1881-02-01,2,1881-01-01
45,0.0,,-3.0,-0.5,-4.0,18,1881-02-15,1881-02-01,2,1881-01-01
46,5.8,,-4.0,-0.7,-4.7,18,1881-02-16,1881-02-01,2,1881-01-01
47,0.0,,-9.9,-5.4,-14.6,18,1881-02-17,1881-02-01,2,1881-01-01
48,0.0,,-13.9,-12.2,-17.1,18,1881-02-18,1881-02-01,2,1881-01-01
49,0.0,,-11.8,-6.9,-16.7,18,1881-02-19,1881-02-01,2,1881-01-01
50,0.0,,-12.5,-9.9,-14.5,18,1881-02-20,1881-02-01,2,1881-01-01
51,0.3,,-11.4,-9.1,-15.5,18,1881-02-21,1881-02-01,2,1881-01-01
52,0.0,,-8.8,-7.1,-10.1,18,1881-02-22,1881-02-01,2,1881-01-01
53,0.0,,-11.4,-8.9,-12.7,18,1881-02-23,1881-02-01,2,1881-01-01
54,0.0,,-12.1,-8.9,-14.7,18,1881-02-24,1881-02-01,2,1881-01-01
55,0.2,,-11.4,-9.7,-12.6,18,1881-02-25,1881-02-01,2,1881-01-01
56,0.0,,-12.5,-9.8,-14.2,18,1881-02-26,1881-02-01,2,1881-01-01
57,0.0,,-7.2,-5.6,-12.8,18,1881-02-27,1881-02-01,2,1881-01-01
58,0.1,,-3.2,-0.3,-4.6,18,1881-02-28,1881-02-01,2,1881-01-01
59,0.0,,-2.7,-1.2,-3.6,18,1881-03-01,1881-03-01,3,1881-01-01
60,0.0,,-8.2,-6.8,-10.5,18,1881-03-02,1881-03-01,3,1881-01-01
61,0.0,,-8.5,-6.2,-12.4,18,1881-03-03,1881-03-01,3,1881-01-01
62,5.1,,-4.7,-2.2,-6.2,18,1881-03-04,1881-03-01,3,1881-01-01
63,0.1,,-6.6,-2.5,-9.1,18,1881-03-05,1881-03-01,3,1881-01-01
64,1.4,,-9.2,-6.4,-13.9,18,1881-03-06,1881-03-01,3,1881-01-01
65,0.0,,-4.8,-0.9,-6.9,18,1881-03-07,1881-03-01,3,1881-01-01
66,8.8,,-3.9,-0.1,-10.4,18,1881-03-08,1881-03-01,3,1881-01-01
67,0.0,,2.2,7.5,-0.9,18,1881-03-09,1881-03-01,3,1881-01-01
68,0.2,,1.1,2.1,-0.3,18,1881-03-10,1881-03-01,3,1881-01-01
69,0.0,,0.1,4.9,-1.1,18,1881-03-11,1881-03-01,3,1881-01-01
70,0.3,,-0.6,2.0,-2.5,18,1881-03-12,1881-03-01,3,1881-01-01
71,2.6,,-0.8,1.3,-1.7,18,1881-03-13,1881-03-01,3,1881-01-01
72,0.3,,-3.4,-1.2,-5.9,18,1881-03-14,1881-03-01,3,1881-01-01
73,0.5,,-5.7,-4.2,-7.5,18,1881-03-15,1881-03-01,3,1881-01-01
74,0.6,,-4.9,-0.3,-8.2,18,1881-03-16,1881-03-01,3,1881-01-01
75,0.8,,-5.0,-3.6,-6.5,18,1881-03-17,1881-03-01,3,1881-01-01
76,0.0,,-3.5,-1.2,-5.5,18,1881-03-18,1881-03-01,3,1881-01-01
77,3.5,,-0.9,1.6,-4.5,18,1881-03-19,1881-03-01,3,1881-01-01
78,0.0,,1.3,1.9,0.2,18,1881-03-20,1881-03-01,3,1881-01-01
79,3.0,,0.2,1.8,-0.6,18,1881-03-21,1881-03-01,3,1881-01-01
80,14.4,,0.6,1.5,-1.4,18,1881-03-22,1881-03-01,3,1881-01-01
81,1.4,,-4.9,-3.2,-7.2,18,1881-03-23,1881-03-01,3,1881-01-01
82,0.0,,-5.8,-1.4,-10.4,18,1881-03-24,1881-03-01,3,1881-01-01
83,0.0,,-1.3,0.5,-4.7,18,1881-03-25,1881-03-01,3,1881-01-01
84,0.0,,2.4,5.9,-0.3,18,1881-03-26,1881-03-01,3,1881-01-01
85,0.0,,3.2,6.6,1.9,18,1881-03-27,1881-03-01,3,1881-01-01
86,0.2,,1.3,2.4,-0.7,18,1881-03-28,1881-03-01,3,1881-01-01
87,2.8,,2.3,4.6,0.1,18,1881-03-29,1881-03-01,3,1881-01-01
88,0.0,,4.7,8.1,1.4,18,1881-03-30,1881-03-01,3,1881-01-01
89,0.0,,1.9,4.1,0.6,18,1881-03-31,1881-03-01,3,1881-01-01
90,0.0,,1.6,,,18,1881-04-01,1881-04-01,4,1881-01-01
91,0.0,,3.0,,,18,1881-04-02,1881-04-01,4,1881-01-01
92,0.0,,6.0,,,18,1881-04-03,1881-04-01,4,1881-01-01
93,19.0,,0.1,,,18,1881-04-04,1881-04-01,4,1881-01-01
94,0.0,,-2.7,,,18,1881-04-05,1881-04-01,4,1881-01-01
95,0.0,,-1.9,,,18,1881-04-06,1881-04-01,4,1881-01-01
96,3.2,,1.0,,,18,1881-04-07,1881-04-01,4,1881-01-01
97,0.4,,0.1,,,18,1881-04-08,1881-04-01,4,1881-01-01
98,0.0,,-3.3,,,18,1881-04-09,1881-04-01,4,1881-01-01
99,0.0,,-2.6,,,18,1881-04-10,1881-04-01,4,1881-01-01
100,0.0,,0.2,,,18,1881-04-11,1881-04-01,4,1881-01-01
101,0.0,,0.8,,,18,1881-04-12,1881-04-01,4,1881-01-01
102,0.0,,3.1,,,18,1881-04-13,1881-04-01,4,1881-01-01
103,0.0,,3.6,,,18,1881-04-14,1881-04-01,4,1881-01-01
104,0.0,,6.1,,,18,1881-04-15,1881-04-01,4,1881-01-01
105,0.0,,7.4,,,18,1881-04-16,1881-04-01,4,1881-01-01
106,0.0,,9.1,,,18,1881-04-17,1881-04-01,4,1881-01-01
107,0.0,,9.8,,,18,1881-04-18,1881-04-01,4,1881-01-01
108,0.0,,11.7,,,18,1881-04-19,1881-04-01,4,1881-01-01
109,0.0,,10.2,,,18,1881-04-20,1881-04-01,4,1881-01-01
110,0.3,,6.0,,,18,1881-04-21,1881-04-01,4,1881-01-01
111,0.0,,8.5,,,18,1881-04-22,1881-04-01,4,1881-01-01
112,2.7,,9.7,,,18,1881-04-23,1881-04-01,4,1881-01-01
113,5.1,,5.3,,,18,1881-04-24,1881-04-01,4,1881-01-01
114,0.0,,6.4,,,18,1881-04-25,1881-04-01,4,1881-01-01
115,9.3,,4.3,,,18,1881-04-26,1881-04-01,4,1881-01-01
116,0.0,,8.3,,,18,1881-04-27,1881-04-01,4,1881-01-01
117,0.0,,8.7,,,18,1881-04-28,1881-04-01,4,1881-01-01
118,0.0,,10.0,,,18,1881-04-29,1881-04-01,4,1881-01-01
119,0.1,,10.8,,,18,1881-04-30,1881-04-01,4,1881-01-01
120,0.0,,6.7,,,18,1881-05-01,1881-05-01,5,1881-01-01
121,0.0,,11.0,,,18,1881-05-02,1881-05-01,5,1881-01-01
122,0.0,,15.8,,,18,1881-05-03,1881-05-01,5,1881-01-01
123,0.0,,17.4,,,18,1881-05-04,1881-05-01,5,1881-01-01
124,0.0,,17.0,,,18,1881-05-05,1881-05-01,5,1881-01-01
125,0.0,,19.4,,,18,1881-05-06,1881-05-01,5,1881-01-01
126,0.8,,14.1,,,18,1881-05-07,1881-05-01,5,1881-01-01
127,0.0,,14.2,,,18,1881-05-08,1881-05-01,5,1881-01-01
128,2.0,,9.3,,,18,1881-05-09,1881-05-01,5,1881-01-01
129,6.1,,11.3,,,18,1881-05-10,1881-05-01,5,1881-01-01
130,3.2,,9.5,,,18,1881-05-11,1881-05-01,5,1881-01-01
131,0.0,,8.9,,,18,1881-05-12,1881-05-01,5,1881-01-01
132,0.0,,10.0,,,18,1881-05-13,1881-05-01,5,1881-01-01
133,0.0,,12.6,,,18,1881-05-14,1881-05-01,5,1881-01-01
134,0.0,,13.3,,,18,1881-05-15,1881-05-01,5,1881-01-01
135,0.0,,12.5,,,18,1881-05-16,1881-05-01,5,1881-01-01
136,0.0,,13.1,,,18,1881-05-17,1881-05-01,5,1881-01-01
137,0.9,,14.7,,,18,1881-05-18,1881-05-01,5,1881-01-01
138,0.0,,16.0,,,18,1881-05-19,1881-05-01,5,1881-01-01
139,0.0,,18.1,,,18,1881-05-20,1881-05-01,5,1881-01-01
140,0.0,,20.7,,,18,1881-05-21,1881-05-01,5,1881-01-01
141,0.1,,19.8,,,18,1881-05-22,1881-05-01,5,1881-01-01
142,5.4,,22.4,,,18,1881-05-23,1881-05-01,5,1881-01-01
143,0.0,,19.3,,,18,1881-05-24,1881-05-01,5,1881-01-01
144,0.0,,20.0,,,18,1881-05-25,1881-05-01,5,1881-01-01
145,0.0,,19.7,,,18,1881-05-26,1881-05-01,5,1881-01-01
146,0.0,,15.5,,,18,1881-05-27,1881-05-01,5,1881-01-01
147,0.0,,16.5,,,18,1881-05-28,1881-05-01,5,1881-01-01
148,20.2,,9.0,,,18,1881-05-29,1881-05-01,5,1881-01-01
149,0.0,,11.4,,,18,1881-05-30,1881-05-01,5,1881-01-01
150,0.0,,12.9,,,18,1881-05-31,1881-05-01,5,1881-01-01
151,0.0,,11.9,14.4,10.2,18,1881-06-01,1881-06-01,6,1881-01-01
152,0.2,,14.0,20.1,10.2,18,1881-06-02,1881-06-01,6,1881-01-01
153,0.0,,16.1,20.1,10.2,18,1881-06-03,1881-06-01,6,1881-01-01
154,0.6,,19.4,24.9,10.2,18,1881-06-04,1881-06-01,6,1881-01-01
155,0.0,,18.2,22.3,13.8,18,1881-06-05,1881-06-01,6,1881-01-01
156,0.0,,22.9,27.6,15.2,18,1881-06-06,1881-06-01,6,1881-01-01
157,0.0,,22.8,27.8,17.5,18,1881-06-07,1881-06-01,6,1881-01-01
158,2.8,,22.1,26.7,18.4,18,1881-06-08,1881-06-01,6,1881-01-01
159,4.9,,18.4,23.5,10.5,18,1881-06-09,1881-06-01,6,1881-01-01
160,0.0,,13.3,17.4,10.9,18,1881-06-10,1881-06-01,6,1881-01-01
161,0.0,,13.1,19.0,7.2,18,1881-06-11,1881-06-01,6,1881-01-01
162,0.0,,9.9,13.7,7.0,18,1881-06-12,1881-06-01,6,1881-01-01
163,3.3,,11.1,12.5,7.7,18,1881-06-13,1881-06-01,6,1881-01-01
164,0.2,,12.3,17.5,8.5,18,1881-06-14,1881-06-01,6,1881-01-01
165,0.0,,13.3,17.4,8.6,18,1881-06-15,1881-06-01,6,1881-01-01
166,0.0,,12.3,17.1,8.4,18,1881-06-16,1881-06-01,6,1881-01-01
167,5.8,,12.5,15.4,9.2,18,1881-06-17,1881-06-01,6,1881-01-01
168,0.1,,15.0,18.1,10.8,18,1881-06-18,1881-06-01,6,1881-01-01
169,1.0,,15.5,19.1,10.6,18,1881-06-19,1881-06-01,6,1881-01-01
170,0.0,,17.8,22.5,10.8,18,1881-06-20,1881-06-01,6,1881-01-01
171,0.0,,20.8,26.4,12.4,18,1881-06-21,1881-06-01,6,1881-01-01
172,0.0,,23.5,28.2,16.3,18,1881-06-22,1881-06-01,6,1881-01-01
173,0.0,,24.4,30.5,19.4,18,1881-06-23,1881-06-01,6,1881-01-01
174,0.0,,25.9,30.6,18.3,18,1881-06-24,1881-06-01,6,1881-01-01
175,9.5,,22.7,29.7,18.7,18,1881-06-25,1881-06-01,6,1881-01-01
176,0.0,,21.4,24.8,15.7,18,1881-06-26,1881-06-01,6,1881-01-01
177,0.0,,18.2,21.8,10.3,18,1881-06-27,1881-06-01,6,1881-01-01
178,0.0,,18.2,24.3,10.3,18,1881-06-28,1881-06-01,6,1881-01-01
179,0.0,,18.8,23.5,15.3,18,1881-06-29,1881-06-01,6,1881-01-01
180,0.0,,19.2,22.6,15.4,18,1881-06-30,1881-06-01,6,1881-01-01
181,0.0,,22.0,27.4,14.0,18,1881-07-01,1881-07-01,7,1881-01-01
182,0.0,,21.7,26.3,18.7,18,1881-07-02,1881-07-01,7,1881-01-01
183,0.0,,22.4,26.5,17.3,18,1881-07-03,1881-07-01,7,1881-01-01
184,0.0,,21.7,27.3,15.8,18,1881-07-04,1881-07-01,7,1881-01-01
185,18.5,,17.3,21.0,15.2,18,1881-07-05,1881-07-01,7,1881-01-01
186,0.0,,18.9,22.9,13.7,18,1881-07-06,1881-07-01,7,1881-01-01
187,0.0,,19.3,22.9,12.9,18,1881-07-07,1881-07-01,7,1881-01-01
188,0.0,,20.0,23.9,15.5,18,1881-07-08,1881-07-01,7,1881-01-01
189,0.0,,21.5,27.3,15.6,18,1881-07-09,1881-07-01,7,1881-01-01
190,12.4,,19.8,22.7,16.1,18,1881-07-10,1881-07-01,7,1881-01-01
191,0.0,,17.2,21.7,14.9,18,1881-07-11,1881-07-01,7,1881-01-01
192,1.8,,16.2,18.8,14.5,18,1881-07-12,1881-07-01,7,1881-01-01
193,3.6,,17.5,21.3,13.5,18,1881-07-13,1881-07-01,7,1881-01-01
194,2.3,,19.3,22.5,15.5,18,1881-07-14,1881-07-01,7,1881-01-01
195,0.0,,17.0,20.8,15.5,18,1881-07-15,1881-07-01,7,1881-01-01
196,0.0,,20.5,24.0,13.7,18,1881-07-16,1881-07-01,7,1881-01-01
197,8.6,,19.7,24.7,14.7,18,1881-07-17,1881-07-01,7,1881-01-01
198,0.3,,15.8,19.2,11.5,18,1881-07-18,1881-07-01,7,1881-01-01
199,0.0,,19.3,22.6,13.2,18,1881-07-19,1881-07-01,7,1881-01-01
200,0.0,,21.0,25.6,15.3,18,1881-07-20,1881-07-01,7,1881-01-01
201,0.0,,26.5,31.8,19.1,18,1881-07-21,1881-07-01,7,1881-01-01
202,0.0,,26.2,31.5,20.4,18,1881-07-22,1881-07-01,7,1881-01-01
203,0.0,,22.0,26.0,19.1,18,1881-07-23,1881-07-01,7,1881-01-01
204,0.0,,22.0,27.2,18.5,18,1881-07-24,1881-07-01,7,1881-01-01
205,0.0,,22.7,26.3,16.8,18,1881-07-25,1881-07-01,7,1881-01-01
206,0.0,,25.3,29.2,17.8,18,1881-07-26,1881-07-01,7,1881-01-01
207,0.0,,26.7,32.0,20.5,18,1881-07-27,1881-07-01,7,1881-01-01
208,2.3,,19.0,24.6,13.9,18,1881-07-28,1881-07-01,7,1881-01-01
209,3.6,,14.8,16.8,12.7,18,1881-07-29,1881-07-01,7,1881-01-01
210,0.0,,15.8,18.6,13.0,18,1881-07-30,1881-07-01,7,1881-01-01
211,0.0,,17.8,22.1,10.9,18,1881-07-31,1881-07-01,7,1881-01-01
212,0.0,,20.5,24.7,14.6,18,1881-08-01,1881-08-01,8,1881-01-01
213,0.0,,25.6,31.2,18.2,18,1881-08-02,1881-08-01,8,1881-01-01
214,18.8,,17.6,31.6,15.9,18,1881-08-03,1881-08-01,8,1881-01-01
215,0.0,,17.1,20.9,11.2,18,1881-08-04,1881-08-01,8,1881-01-01
216,0.9,,16.4,20.5,12.6,18,1881-08-05,1881-08-01,8,1881-01-01
217,0.0,,17.0,20.6,11.0,18,1881-08-06,1881-08-01,8,1881-01-01
218,0.0,,19.9,24.8,11.8,18,1881-08-07,1881-08-01,8,1881-01-01
219,0.0,,18.5,21.5,16.5,18,1881-08-08,1881-08-01,8,1881-01-01
220,0.0,,18.6,22.9,11.0,18,1881-08-09,1881-08-01,8,1881-01-01
221,4.1,,20.2,27.2,15.6,18,1881-08-10,1881-08-01,8,1881-01-01
222,0.4,,16.6,20.7,13.6,18,1881-08-11,1881-08-01,8,1881-01-01
223,0.0,,15.3,18.6,11.0,18,1881-08-12,1881-08-01,8,1881-01-01
224,0.0,,15.9,20.4,11.2,18,1881-08-13,1881-08-01,8,1881-01-01
225,4.3,,22.1,29.0,15.2,18,1881-08-14,1881-08-01,8,1881-01-01
226,0.0,,23.3,27.6,16.1,18,1881-08-15,1881-08-01,8,1881-01-01
227,7.0,,20.3,28.2,12.6,18,1881-08-16,1881-08-01,8,1881-01-01
228,0.0,,16.2,20.2,11.2,18,1881-08-17,1881-08-01,8,1881-01-01
229,19.9,,20.7,25.6,15.4,18,1881-08-18,1881-08-01,8,1881-01-01
230,0.0,,16.2,19.9,14.1,18,1881-08-19,1881-08-01,8,1881-01-01
231,0.0,,15.9,19.5,11.9,18,1881-08-20,1881-08-01,8,1881-01-01
232,0.2,,17.6,22.0,13.5,18,1881-08-21,1881-08-01,8,1881-01-01
233,0.5,,18.1,20.9,14.4,18,1881-08-22,1881-08-01,8,1881-01-01
234,0.2,,15.1,19.1,10.1,18,1881-08-23,1881-08-01,8,1881-01-01
235,0.0,,19.5,24.1,12.6,18,1881-08-24,1881-08-01,8,1881-01-01
236,0.0,,20.8,25.0,17.0,18,1881-08-25,1881-08-01,8,1881-01-01
237,0.0,,16.7,20.5,11.6,18,1881-08-26,1881-08-01,8,1881-01-01
238,0.0,,19.5,24.6,12.7,18,1881-08-27,1881-08-01,8,1881-01-01
239,0.0,,21.5,27.3,14.8,18,1881-08-28,1881-08-01,8,1881-01-01
240,0.0,,21.5,26.9,15.9,18,1881-08-29,1881-08-01,8,1881-01-01
241,0.4,,15.1,20.4,14.8,18,1881-08-30,1881-08-01,8,1881-01-01
242,0.0,,11.7,13.7,10.2,18,1881-08-31,1881-08-01,8,1881-01-01
243,0.0,,14.3,18.7,7.8,18,1881-09-01,1881-09-01,9,1881-01-01
244,0.0,,18.5,25.6,9.9,18,1881-09-02,1881-09-01,9,1881-01-01
245,0.0,,23.4,28.0,17.1,18,1881-09-03,1881-09-01,9,1881-01-01
246,0.0,,22.9,28.1,18.2,18,1881-09-04,1881-09-01,9,1881-01-01
247,0.0,,20.9,24.9,14.8,18,1881-09-05,1881-09-01,9,1881-01-01
248,1.9,,18.0,24.2,14.4,18,1881-09-06,1881-09-01,9,1881-01-01
249,0.4,,17.2,22.4,13.9,18,1881-09-07,1881-09-01,9,1881-01-01
250,0.0,,17.2,20.6,13.9,18,1881-09-08,1881-09-01,9,1881-01-01
251,0.0,,17.7,22.2,10.7,18,1881-09-09,1881-09-01,9,1881-01-01
252,0.0,,16.2,20.9,10.7,18,1881-09-10,1881-09-01,9,1881-01-01
253,0.0,,17.2,22.8,10.8,18,1881-09-11,1881-09-01,9,1881-01-01
254,0.0,,17.3,24.8,12.3,18,1881-09-12,1881-09-01,9,1881-01-01
255,5.0,,17.8,23.4,12.8,18,1881-09-13,1881-09-01,9,1881-01-01
256,0.0,,17.0,20.6,10.7,18,1881-09-14,1881-09-01,9,1881-01-01
257,0.0,,13.7,18.3,10.5,18,1881-09-15,1881-09-01,9,1881-01-01
258,5.1,,12.4,16.2,9.9,18,1881-09-16,1881-09-01,9,1881-01-01
259,0.9,,12.9,17.4,10.0,18,1881-09-17,1881-09-01,9,1881-01-01
260,0.0,,12.7,15.4,9.9,18,1881-09-18,1881-09-01,9,1881-01-01
261,0.0,,12.8,16.4,9.7,18,1881-09-19,1881-09-01,9,1881-01-01
262,2.2,,15.6,21.3,7.5,18,1881-09-20,1881-09-01,9,1881-01-01
263,0.0,,5.2,13.8,-1.9,18,1881-09-21,1881-09-01,9,1881-01-01
264,0.0,,1.6,5.5,-2.0,18,1881-09-22,1881-09-01,9,1881-01-01
265,0.0,,1.5,4.7,-1.5,18,1881-09-23,1881-09-01,9,1881-01-01
266,0.0,,3.8,8.0,-2.2,18,1881-09-24,1881-09-01,9,1881-01-01
267,0.0,,5.2,9.2,-0.5,18,1881-09-25,1881-09-01,9,1881-01-01
268,0.0,,7.6,11.4,0.8,18,1881-09-26,1881-09-01,9,1881-01-01
269,0.0,,7.2,10.8,3.2,18,1881-09-27,1881-09-01,9,1881-01-01
270,0.0,,2.1,5.1,0.7,18,1881-09-28,1881-09-01,9,1881-01-01
271,0.0,,2.4,5.2,-2.9,18,1881-09-29,1881-09-01,9,1881-01-01
272,0.0,,2.6,8.4,-2.9,18,1881-09-30,1881-09-01,9,1881-01-01
273,0.0,,2.8,9.0,-1.9,18,1881-10-01,1881-10-01,10,1881-01-01
274,0.0,,5.5,10.6,-0.3,18,1881-10-02,1881-10-01,10,1881-01-01
275,0.0,,5.4,7.0,3.7,18,1881-10-03,1881-10-01,10,1881-01-01
276,0.0,,5.8,8.5,-0.2,18,1881-10-04,1881-10-01,10,1881-01-01
277,0.0,,2.5,6.0,-1.9,18,1881-10-05,1881-10-01,10,1881-01-01
278,0.0,,3.0,8.6,-1.6,18,1881-10-06,1881-10-01,10,1881-01-01
279,0.0,,5.0,9.8,0.3,18,1881-10-07,1881-10-01,10,1881-01-01
280,0.0,,7.8,13.4,2.8,18,1881-10-08,1881-10-01,10,1881-01-01
281,0.0,,8.2,14.9,2.4,18,1881-10-09,1881-10-01,10,1881-01-01
282,0.0,,8.8,15.7,2.2,18,1881-10-10,1881-10-01,10,1881-01-01
283,0.0,,8.3,14.2,2.9,18,1881-10-11,1881-10-01,10,1881-01-01
284,0.0,,8.2,13.3,3.0,18,1881-10-12,1881-10-01,10,1881-01-01
285,0.0,,9.3,14.4,6.7,18,1881-10-13,1881-10-01,10,1881-01-01
286,0.6,,6.3,7.6,0.6,18,1881-10-14,1881-10-01,10,1881-01-01
287,2.6,,5.8,10.0,0.9,18,1881-10-15,1881-10-01,10,1881-01-01
288,0.6,,9.9,12.7,7.0,18,1881-10-16,1881-10-01,10,1881-01-01
289,3.8,,10.5,12.7,9.5,18,1881-10-17,1881-10-01,10,1881-01-01
290,21.0,,10.3,11.5,6.2,18,1881-10-18,1881-10-01,10,1881-01-01
291,0.0,,8.8,12.7,1.5,18,1881-10-19,1881-10-01,10,1881-01-01
292,0.0,,3.5,9.5,2.0,18,1881-10-20,1881-10-01,10,1881-01-01
293,0.0,,3.1,4.5,2.1,18,1881-10-21,1881-10-01,10,1881-01-01
294,8.2,,2.8,3.5,2.5,18,1881-10-22,1881-10-01,10,1881-01-01
295,4.9,,4.3,4.5,2.0,18,1881-10-23,1881-10-01,10,1881-01-01
296,9.0,,3.7,5.0,3.6,18,1881-10-24,1881-10-01,10,1881-01-01
297,7.4,,9.0,11.5,3.9,18,1881-10-25,1881-10-01,10,1881-01-01
298,2.1,,4.8,11.0,-2.2,18,1881-10-26,1881-10-01,10,1881-01-01
299,0.0,,-2.7,-1.4,-5.5,18,1881-10-27,1881-10-01,10,1881-01-01
300,0.0,,-4.1,-2.4,-5.7,18,1881-10-28,1881-10-01,10,1881-01-01
301,0.0,,-2.8,-1.6,-4.1,18,1881-10-29,1881-10-01,10,1881-01-01
302,4.8,,-2.6,-2.1,-3.8,18,1881-10-30,1881-10-01,10,1881-01-01
303,8.4,,-4.0,-3.1,-5.9,18,1881-10-31,1881-10-01,10,1881-01-01
304,11.4,,-4.9,-4.5,-5.7,18,1881-11-01,1881-11-01,11,1881-01-01
305,4.1,,-2.3,-0.8,-5.3,18,1881-11-02,1881-11-01,11,1881-01-01
306,3.4,,-6.9,-3.5,-11.5,18,1881-11-03,1881-11-01,11,1881-01-01
307,0.0,,-6.8,-3.4,-11.2,18,1881-11-04,1881-11-01,11,1881-01-01
308,0.0,,-2.7,-1.0,-4.5,18,1881-11-05,1881-11-01,11,1881-01-01
309,2.6,,-0.4,1.6,-3.1,18,1881-11-06,1881-11-01,11,1881-01-01
310,0.0,,2.4,3.3,-2.3,18,1881-11-07,1881-11-01,11,1881-01-01
311,0.0,,-3.1,0.9,-7.6,18,1881-11-08,1881-11-01,11,1881-01-01
312,0.0,,-1.6,0.6,-7.4,18,1881-11-09,1881-11-01,11,1881-01-01
313,0.0,,2.0,3.4,-0.1,18,1881-11-10,1881-11-01,11,1881-01-01
314,0.0,,3.4,6.6,0.4,18,1881-11-11,1881-11-01,11,1881-01-01
315,0.0,,4.0,4.5,2.5,18,1881-11-12,1881-11-01,11,1881-01-01
316,0.2,,4.9,6.6,1.9,18,1881-11-13,1881-11-01,11,1881-01-01
317,0.6,,5.7,6.2,3.6,18,1881-11-14,1881-11-01,11,1881-01-01
