Year,County,Hospital,OSHPDID,Measure,Risk Adjusted Rate,No of Deaths/Readmissions,No of Cases,Hospital Ratings,Location 
2011-2012,Humboldt,Saint Joseph Hospital – Eureka,106121080,30-day Readmission,8.56,15.0,173.0,As Expected,"(40.7832, -124.14216)"
2011-2012,Humboldt,Saint Joseph Hospital – Eureka,106121080,30-day Mortality,12.74,29.0,192.0,As Expected,"(40.7832, -124.14216)"
2011-2012,Imperial,El Centro Regional Medical Center,106130699,30-day Readmission,14.43,29.0,191.0,As Expected,"(32.78138, -115.49824)"
2011-2012,Imperial,El Centro Regional Medical Center,106130699,30-day Mortality,12.92,23.0,204.0,As Expected,"(32.78138, -115.49824)"
2011-2012,Imperial,Pioneers Memorial Healthcare District,106130760,30-day Readmission,12.45,17.0,147.0,As Expected,"(32.96003, -115.55183)"
2011-2012,Imperial,Pioneers Memorial Healthcare District,106130760,30-day Mortality,7.13,8.0,152.0,As Expected,"(32.96003, -115.55183)"
2011-2012,Kern,Delano Regional Medical Center,106150706,30-day Readmission,19.71,6.0,30.0,As Expected,"(35.76143, -119.23706)"
2011-2012,Kern,Delano Regional Medical Center,106150706,30-day Mortality,16.07,6.0,34.0,As Expected,"(35.76143, -119.23706)"
2011-2012,Kern,Bakersfield Memorial Hospital,106150722,30-day Readmission,12.29,36.0,282.0,As Expected,"(35.39051, -119.00658)"
2011-2012,Kern,Bakersfield Memorial Hospital,106150722,30-day Mortality,14.09,34.0,298.0,As Expected,"(35.39051, -119.00658)"
2011-2012,Kern,Kern Medical Center,106150736,30-day Readmission,6.76,3.0,51.0,As Expected,"(35.380833, -118.967222)"
2011-2012,Kern,Kern Medical Center,106150736,30-day Mortality,10.42,1.0,51.0,As Expected,"(35.380833, -118.967222)"
2011-2012,Kern,Mercy Hospital – Bakersfield,106150761,30-day Readmission,16.03,25.0,166.0,As Expected,"(35.37323, -119.02715)"
2011-2012,Kern,Mercy Hospital – Bakersfield,106150761,30-day Mortality,15.48,27.0,180.0,As Expected,"(35.37323, -119.02715)"
2011-2012,Kern,Ridgecrest Regional Hospital,106150782,30-day Readmission,7.19,2.0,32.0,As Expected,"(35.6404, -117.66996)"
2011-2012,Kern,Ridgecrest Regional Hospital,106150782,30-day Mortality,24.57,9.0,36.0,Worse,"(35.6404, -117.66996)"
2011-2012,Kern,San Joaquin Community Hospital,106150788,30-day Readmission,13.32,81.0,643.0,As Expected,"(35.383064, -119.018775)"
2011-2012,Kern,San Joaquin Community Hospital,106150788,30-day Mortality,14.77,76.0,672.0,Worse,"(35.383064, -119.018775)"
2011-2012,Kern,Bakersfield Heart Hospital,106154101,30-day Readmission,10.79,10.0,97.0,As Expected,"(35.38619, -119.04314)"
2011-2012,Kern,Bakersfield Heart Hospital,106154101,30-day Mortality,5.3,4.0,100.0,As Expected,"(35.38619, -119.04314)"
2011-2012,Kings,Adventist Medical Center,106164029,30-day Readmission,13.27,28.0,198.0,As Expected,"(36.3256247, -119.6683912)"
2011-2012,Kings,Adventist Medical Center,106164029,30-day Mortality,11.07,24.0,216.0,As Expected,"(36.3256247, -119.6683912)"
2011-2012,Lake,Sutter Lakeside Hospital,106171395,30-day Readmission,3.27,2.0,56.0,Better,"(39.10232, -122.91003)"
2011-2012,Lake,Sutter Lakeside Hospital,106171395,30-day Mortality,12.24,10.0,57.0,As Expected,"(39.10232, -122.91003)"
2011-2012,Los Angeles,Alhambra Hospital,106190017,30-day Readmission,10.4,12.0,96.0,As Expected,"(34.08988, -118.1449)"
2011-2012,Los Angeles,Alhambra Hospital,106190017,30-day Mortality,4.63,5.0,100.0,As Expected,"(34.08988, -118.1449)"
2011-2012,Los Angeles,Antelope Valley Hospital,106190034,30-day Readmission,14.61,61.0,414.0,As Expected,"(34.68928, -118.15767)"
2011-2012,Los Angeles,Antelope Valley Hospital,106190034,30-day Mortality,12.32,41.0,431.0,As Expected,"(34.68928, -118.15767)"
2011-2012,Los Angeles,Saint Mary Medical Center,106190053,30-day Readmission,11.55,26.0,189.0,As Expected,"(33.7802376, -118.1866412)"
2011-2012,Los Angeles,Saint Mary Medical Center,106190053,30-day Mortality,10.12,18.0,198.0,As Expected,"(33.7802376, -118.1866412)"
2011-2012,Los Angeles,Beverly Hospital,106190081,30-day Mortality,13.65,19.0,159.0,As Expected,"(34.01614, -118.10132)"
2011-2012,Los Angeles,Beverly Hospital,106190081,30-day Readmission,12.6,20.0,146.0,As Expected,"(34.01614, -118.10132)"
2011-2012,Los Angeles,Brotman Medical Center,106190110,30-day Readmission,18.84,30.0,136.0,As Expected,"(34.02328, -118.39724)"
2011-2012,Los Angeles,Brotman Medical Center,106190110,30-day Mortality,7.07,8.0,142.0,As Expected,"(34.02328, -118.39724)"
2011-2012,Los Angeles,California Hospital Medical Center – Los Angeles,106190125,30-day Readmission,14.06,27.0,182.0,As Expected,"(34.03721, -118.26551)"
2011-2012,Los Angeles,California Hospital Medical Center – Los Angeles,106190125,30-day Mortality,7.91,9.0,188.0,As Expected,"(34.03721, -118.26551)"
2011-2012,Los Angeles,Centinela Hospital Medical Center,106190148,30-day Readmission,16.59,102.0,488.0,Worse,"(33.94917, -118.34788)"
2011-2012,Los Angeles,Centinela Hospital Medical Center,106190148,30-day Mortality,7.28,20.0,503.0,As Expected,"(33.94917, -118.34788)"
2011-2012,Los Angeles,Community and Mission Hospital of Huntington Park – Slauson,106190197,30-day Readmission,8.43,4.0,49.0,As Expected,"(33.98929, -118.22466)"
2011-2012,Los Angeles,Community and Mission Hospital of Huntington Park – Slauson,106190197,30-day Mortality,0.0,0.0,49.0,As Expected,"(33.98929, -118.22466)"
2011-2012,Los Angeles,Los Angeles Community Hospital,106190198,30-day Readmission,18.38,14.0,57.0,As Expected,"(34.01897, -118.1875)"
2011-2012,Los Angeles,Los Angeles Community Hospital,106190198,30-day Mortality,3.37,2.0,59.0,As Expected,"(34.01897, -118.1875)"
2011-2012,Los Angeles,San Gabriel Valley Medical Center,106190200,30-day Readmission,14.67,24.0,155.0,As Expected,"(34.1024, -118.10503)"
2011-2012,Los Angeles,San Gabriel Valley Medical Center,106190200,30-day Mortality,6.0,11.0,160.0,As Expected,"(34.1024, -118.10503)"
2011-2012,Los Angeles,Lakewood Regional Medical Center,106190240,30-day Readmission,15.09,49.0,307.0,As Expected,"(33.86016, -118.14837)"
2011-2012,Los Angeles,Lakewood Regional Medical Center,106190240,30-day Mortality,11.46,30.0,323.0,As Expected,"(33.86016, -118.14837)"
2011-2012,Los Angeles,Downey Regional Medical Center,106190243,30-day Readmission,15.11,39.0,244.0,As Expected,"(33.93515, -118.13196)"
2011-2012,Los Angeles,Downey Regional Medical Center,106190243,30-day Mortality,10.68,26.0,255.0,As Expected,"(33.93515, -118.13196)"
2011-2012,Los Angeles,East Los Angeles Doctors Hospital,106190256,30-day Mortality,0.0,0.0,38.0,As Expected,"(34.02383, -118.18377)"
2011-2012,Los Angeles,East Los Angeles Doctors Hospital,106190256,30-day Readmission,8.81,4.0,38.0,As Expected,"(34.02383, -118.18377)"
2011-2012,Los Angeles,Encino Hospital Medical Center,106190280,30-day Readmission,16.22,8.0,38.0,As Expected,"(34.15686, -118.48662)"
2011-2012,Los Angeles,Encino Hospital Medical Center,106190280,30-day Mortality,2.67,2.0,39.0,Better,"(34.15686, -118.48662)"
2011-2012,Los Angeles,Foothill Presbyterian Hospital – Johnston Memorial,106190298,30-day Mortality,12.11,15.0,128.0,As Expected,"(34.13384, -117.87244)"
2011-2012,Los Angeles,Foothill Presbyterian Hospital – Johnston Memorial,106190298,30-day Readmission,17.2,20.0,123.0,As Expected,"(34.13384, -117.87244)"
2011-2012,Los Angeles,"Pacific Alliance Medical Center, Inc.",106190307,30-day Mortality,2.6,2.0,88.0,Better,"(34.06464, -118.23905)"
2011-2012,Los Angeles,"Pacific Alliance Medical Center, Inc.",106190307,30-day Readmission,12.35,13.0,88.0,As Expected,"(34.06464, -118.23905)"
2011-2012,Los Angeles,Garfield Medical Center,106190315,30-day Readmission,15.64,54.0,304.0,As Expected,"(34.06826, -118.12302)"
2011-2012,Los Angeles,Garfield Medical Center,106190315,30-day Mortality,4.35,14.0,315.0,Better,"(34.06826, -118.12302)"
2011-2012,Los Angeles,Glendale Adventist Medical Center – Wilson Terrace,106190323,30-day Readmission,14.17,51.0,330.0,As Expected,"(34.14951, -118.23109)"
2011-2012,Los Angeles,Glendale Adventist Medical Center – Wilson Terrace,106190323,30-day Mortality,10.03,48.0,359.0,As Expected,"(34.14951, -118.23109)"
2012-2013,San Diego,Alvarado Hospital,106370652,30-day Mortality,9.76,19.0,149.0,As Expected,"(32.77708, -117.05683)"
2011-2012,Los Angeles,Greater El Monte Community Hospital,106190352,30-day Readmission,24.27,12.0,42.0,As Expected,"(34.04827, -118.04257)"
2011-2012,Los Angeles,Greater El Monte Community Hospital,106190352,30-day Mortality,4.84,2.0,43.0,As Expected,"(34.04827, -118.04257)"
2011-2012,Los Angeles,Hollywood Presbyterian Medical Center,106190382,30-day Readmission,20.08,54.0,247.0,Worse,"(34.09557, -118.29163)"
2011-2012,Los Angeles,Hollywood Presbyterian Medical Center,106190382,30-day Mortality,8.42,22.0,256.0,As Expected,"(34.09557, -118.29163)"
2011-2012,Los Angeles,Providence Holy Cross Medical Center,106190385,30-day Readmission,12.17,46.0,352.0,As Expected,"(34.2791, -118.45951)"
2011-2012,Los Angeles,Providence Holy Cross Medical Center,106190385,30-day Mortality,9.31,34.0,371.0,As Expected,"(34.2791, -118.45951)"
2011-2012,Los Angeles,Good Samaritan Hospital – Los Angeles,106190392,30-day Readmission,14.69,30.0,191.0,As Expected,"(34.05324, -118.26522)"
2011-2012,Los Angeles,Good Samaritan Hospital – Los Angeles,106190392,30-day Mortality,8.44,14.0,202.0,As Expected,"(34.05324, -118.26522)"
2011-2012,Los Angeles,Huntington Memorial Hospital,106190400,30-day Readmission,11.42,58.0,503.0,As Expected,"(34.13565, -118.1518)"
2011-2012,Los Angeles,Huntington Memorial Hospital,106190400,30-day Mortality,10.23,56.0,514.0,As Expected,"(34.13565, -118.1518)"
2011-2012,Los Angeles,Citrus Valley Medical Center – Inter Community Campus,106190413,30-day Readmission,15.1,26.0,174.0,As Expected,"(34.08993, -117.89264)"
2011-2012,Los Angeles,Citrus Valley Medical Center – Inter Community Campus,106190413,30-day Mortality,7.48,13.0,177.0,As Expected,"(34.08993, -117.89264)"
2011-2012,Los Angeles,Torrance Memorial Medical Center,106190422,30-day Readmission,12.09,68.0,571.0,As Expected,"(33.81258, -118.34388)"
2011-2012,Los Angeles,Torrance Memorial Medical Center,106190422,30-day Mortality,9.38,61.0,596.0,As Expected,"(33.81258, -118.34388)"
2011-2012,Los Angeles,Kaiser Foundation Hospital – Sunset,106190429,30-day Readmission,10.75,45.0,418.0,As Expected,"(34.09823, -118.29545)"
2011-2012,Los Angeles,Kaiser Foundation Hospital – Sunset,106190429,30-day Mortality,10.64,33.0,443.0,As Expected,"(34.09823, -118.29545)"
2011-2012,Los Angeles,Kaiser Foundation Hospital – South Bay,106190431,30-day Readmission,15.98,46.0,256.0,As Expected,"(33.789, -118.29415)"
2011-2012,Los Angeles,Kaiser Foundation Hospital – South Bay,106190431,30-day Mortality,12.79,26.0,268.0,As Expected,"(33.789, -118.29415)"
2011-2012,Los Angeles,Kaiser Foundation Hospital – Panorama City,106190432,30-day Readmission,13.5,35.0,260.0,As Expected,"(34.21975, -118.43009)"
2011-2012,Los Angeles,Kaiser Foundation Hospital – Panorama City,106190432,30-day Mortality,13.04,30.0,269.0,As Expected,"(34.21975, -118.43009)"
2011-2012,Los Angeles,Kaiser Foundation Hospital – West Los Angeles,106190434,30-day Readmission,15.19,52.0,309.0,As Expected,"(34.03793, -118.37568)"
2011-2012,Los Angeles,Kaiser Foundation Hospital – West Los Angeles,106190434,30-day Mortality,12.56,26.0,319.0,As Expected,"(34.03793, -118.37568)"
2011-2012,Los Angeles,Providence Little Company of Mary Medical Center – Torrance,106190470,30-day Readmission,13.39,68.0,519.0,As Expected,"(33.83767, -118.35708)"
2011-2012,Los Angeles,Providence Little Company of Mary Medical Center – Torrance,106190470,30-day Mortality,11.7,59.0,550.0,As Expected,"(33.83767, -118.35708)"
2011-2012,Los Angeles,Community Hospital of Long Beach,106190475,30-day Readmission,14.29,8.0,58.0,As Expected,"(33.78871, -118.14578)"
2011-2012,Los Angeles,Community Hospital of Long Beach,106190475,30-day Mortality,13.63,11.0,64.0,As Expected,"(33.78871, -118.14578)"
2011-2012,Los Angeles,Marina Del Rey Hospital,106190500,30-day Readmission,14.07,14.0,93.0,As Expected,"(33.98125, -118.43971)"
2011-2012,Los Angeles,Marina Del Rey Hospital,106190500,30-day Mortality,6.44,6.0,93.0,As Expected,"(33.98125, -118.43971)"
2011-2012,Los Angeles,Providence Tarzana Medical Center,106190517,30-day Readmission,11.88,35.0,296.0,As Expected,"(34.16985, -118.53136)"
2011-2012,Los Angeles,Providence Tarzana Medical Center,106190517,30-day Mortality,6.68,25.0,310.0,Better,"(34.16985, -118.53136)"
2011-2012,Los Angeles,Memorial Hospital of Gardena,106190521,30-day Readmission,11.45,14.0,103.0,As Expected,"(33.89246, -118.29493)"
2011-2012,Los Angeles,Memorial Hospital of Gardena,106190521,30-day Mortality,6.77,4.0,108.0,As Expected,"(33.89246, -118.29493)"
2011-2012,Los Angeles,Glendale Memorial Hospital and Medical Center,106190522,30-day Readmission,18.17,36.0,201.0,As Expected,"(34.1284, -118.25769)"
2011-2012,Los Angeles,Glendale Memorial Hospital and Medical Center,106190522,30-day Mortality,9.56,17.0,210.0,As Expected,"(34.1284, -118.25769)"
2011-2012,Los Angeles,Mission Community Hospital – Panorama Campus,106190524,30-day Readmission,14.42,8.0,43.0,As Expected,"(34.22138, -118.45639)"
2011-2012,Los Angeles,Mission Community Hospital – Panorama Campus,106190524,30-day Mortality,6.14,3.0,45.0,As Expected,"(34.22138, -118.45639)"
2011-2012,Los Angeles,Long Beach Memorial Medical Center,106190525,30-day Readmission,17.48,103.0,611.0,Worse,"(33.80801, -118.1852)"
2011-2012,Los Angeles,Long Beach Memorial Medical Center,106190525,30-day Mortality,13.65,66.0,651.0,As Expected,"(33.80801, -118.1852)"
2011-2012,Los Angeles,Methodist Hospital of Southern California,106190529,30-day Readmission,15.27,88.0,560.0,As Expected,"(34.13603, -118.03879)"
2011-2012,Los Angeles,Methodist Hospital of Southern California,106190529,30-day Mortality,10.92,68.0,582.0,As Expected,"(34.13603, -118.03879)"
2011-2012,Los Angeles,Olympia Medical Center,106190534,30-day Readmission,16.23,19.0,99.0,As Expected,"(34.05754, -118.36008)"
2011-2012,Los Angeles,Olympia Medical Center,106190534,30-day Mortality,9.5,10.0,102.0,As Expected,"(34.05754, -118.36008)"
2011-2012,Los Angeles,Monterey Park Hospital,106190547,30-day Readmission,11.98,7.0,56.0,As Expected,"(34.05308, -118.13665)"
2011-2012,Los Angeles,Monterey Park Hospital,106190547,30-day Mortality,8.23,4.0,60.0,As Expected,"(34.05308, -118.13665)"
2011-2012,Los Angeles,Cedars Sinai Medical Center,106190555,30-day Readmission,15.8,124.0,741.0,Worse,"(34.07681, -118.38061)"
2011-2012,Los Angeles,Cedars Sinai Medical Center,106190555,30-day Mortality,6.11,56.0,773.0,Better,"(34.07681, -118.38061)"
2011-2012,Los Angeles,Northridge Hospital Medical Center,106190568,30-day Readmission,11.58,38.0,337.0,As Expected,"(34.22075, -118.53186)"
2011-2012,Los Angeles,Northridge Hospital Medical Center,106190568,30-day Mortality,9.08,39.0,353.0,As Expected,"(34.22075, -118.53186)"
2011-2012,Los Angeles,Pacific Hospital of Long Beach,106190587,30-day Readmission,15.71,9.0,44.0,As Expected,"(33.80759, -118.19355)"
2011-2012,Los Angeles,Pacific Hospital of Long Beach,106190587,30-day Mortality,11.65,5.0,45.0,As Expected,"(33.80759, -118.19355)"
2011-2012,Los Angeles,Pomona Valley Hospital Medical Center,106190630,30-day Readmission,13.36,73.0,556.0,As Expected,"(34.07852, -117.75234)"
2011-2012,Los Angeles,Pomona Valley Hospital Medical Center,106190630,30-day Mortality,9.23,54.0,580.0,As Expected,"(34.07852, -117.75234)"
2011-2012,Los Angeles,Presbyterian Intercommunity Hospital,106190631,30-day Readmission,13.07,72.0,517.0,As Expected,"(33.96775, -118.04671)"
2011-2012,Los Angeles,Presbyterian Intercommunity Hospital,106190631,30-day Mortality,9.89,63.0,538.0,As Expected,"(33.96775, -118.04671)"
2011-2012,Los Angeles,Citrus Valley Medical Center – Queen of the Valley Campus,106190636,30-day Readmission,12.32,27.0,223.0,As Expected,"(34.06242, -117.94528)"
2011-2012,Los Angeles,Citrus Valley Medical Center – Queen of the Valley Campus,106190636,30-day Mortality,11.33,22.0,234.0,As Expected,"(34.06242, -117.94528)"
2011-2012,Los Angeles,San Dimas Community Hospital,106190673,30-day Readmission,15.61,12.0,74.0,As Expected,"(34.09922, -117.83218)"
2011-2012,Los Angeles,San Dimas Community Hospital,106190673,30-day Mortality,12.54,11.0,78.0,As Expected,"(34.09922, -117.83218)"
2011-2012,Los Angeles,Providence Little Company of Mary Medical Center – San Pedro,106190680,30-day Readmission,18.0,31.0,179.0,As Expected,"(33.73798, -118.30557)"
2011-2012,Los Angeles,Providence Little Company of Mary Medical Center – San Pedro,106190680,30-day Mortality,12.99,29.0,189.0,As Expected,"(33.73798, -118.30557)"
2011-2012,Los Angeles,Santa Monica – UCLA Medical Center and Orthopedic Hospital,106190687,30-day Readmission,17.64,32.0,193.0,As Expected,"(34.02755, -118.48623)"
2011-2012,Los Angeles,Santa Monica – UCLA Medical Center and Orthopedic Hospital,106190687,30-day Mortality,6.48,16.0,199.0,Better,"(34.02755, -118.48623)"
2011-2012,Los Angeles,Pacifica Hospital of the Valley,106190696,30-day Readmission,24.98,8.0,31.0,As Expected,"(34.24088, -118.39555)"
2011-2012,Los Angeles,Pacifica Hospital of the Valley,106190696,30-day Mortality,5.01,2.0,33.0,As Expected,"(34.24088, -118.39555)"
2011-2012,Los Angeles,Sherman Oaks Hospital,106190708,30-day Readmission,12.33,9.0,64.0,As Expected,"(34.15995, -118.4488)"
2011-2012,Los Angeles,Sherman Oaks Hospital,106190708,30-day Mortality,8.36,9.0,66.0,As Expected,"(34.15995, -118.4488)"
2011-2012,Los Angeles,Saint Francis Medical Center,106190754,30-day Readmission,15.61,39.0,211.0,As Expected,"(33.93085, -118.20415)"
