patcnty1,dsch_yr,disp1,Discharges
Amador,2016,Skilled Nursing/Intermediate Care (SN/IC),480
Amador,2017,Acute Care,159
Amador,2017,Critical Access Hospital,4
Amador,2017,Died,84
Amador,2017,Home Health Service,750
Amador,2017,Hospice_Care,95
Amador,2017,Left Against Medical Advice,45
Amador,2017,Not_Defined_Elsewhere,3
Amador,2017,Prison/Jail,324
Amador,2017,Psychiatric_Care,4
Amador,2017,Rehab,49
Amador,2017,Residential Care facility,20
Amador,2017,Routine (Home),2521
Amador,2017,Skilled Nursing/Intermediate Care (SN/IC),511
Amador,2018,Acute Care,197
Amador,2018,Childrens_or_Cancer,68
Amador,2018,Critical Access Hospital,6
Amador,2018,Died,113
Amador,2018,Home Health Service,734
Amador,2018,Hospice_Care,72
Amador,2018,Left Against Medical Advice,49
Amador,2018,Not_Defined_Elsewhere,7
Amador,2018,Prison/Jail,224
Amador,2018,Psychiatric_Care,3
Amador,2018,Rehab,60
Amador,2018,Residential Care facility,17
Amador,2018,Routine (Home),2454
Amador,2018,Skilled Nursing/Intermediate Care (SN/IC),556
Butte,2012,Acute Care at another hospital,618
Butte,2012,Acute Care within the admitting hospital,105
Butte,2012,Died,647
Butte,2012,Home Health Service,2955
Butte,2012,Left Against Medical Advice,599
Butte,2012,Other,56
Butte,2012,Other Care (not SN/IC) at another hospital,200
Butte,2012,Other Care with the admitting hospital,355
Butte,2012,Prison/Jail,37
Butte,2012,Residential Care facility,113
Butte,2012,Routine (Home),23280
Butte,2012,SN/IC at another facility,2791
Butte,2012,Skilled Nursing/Intermediate Care (SN/IC) with the admitting hospital,621
Butte,2013,Acute Care at another hospital,657
Butte,2013,Acute Care within the admitting hospital,114
Butte,2013,Died,583
Butte,2013,Home Health Service,2939
Butte,2013,Left Against Medical Advice,699
Butte,2013,Other,53
Butte,2013,Other Care (not SN/IC) at another hospital,197
Butte,2013,Other Care with the admitting hospital,392
Butte,2013,Prison/Jail,34
Butte,2013,Residential Care facility,151
Butte,2013,Routine (Home),23170
Butte,2013,SN/IC at another facility,2936
Butte,2013,Skilled Nursing/Intermediate Care (SN/IC) with the admitting hospital,497
Butte,2014,Acute Care at another hospital,703
Butte,2014,Acute Care within the admitting hospital,68
Butte,2014,Died,523
Butte,2014,Home Health Service,2811
Butte,2014,Invalid,7
Butte,2014,Left Against Medical Advice,838
Butte,2014,Other,44
Butte,2014,Other Care (not SN/IC) at another hospital,208
Butte,2014,Other Care with the admitting hospital,325
Butte,2014,Prison/Jail,51
Butte,2014,Residential Care facility,168
Butte,2014,Routine (Home),23629
Butte,2014,SN/IC at another facility,3034
Butte,2014,Skilled Nursing/Intermediate Care (SN/IC) with the admitting hospital,96
Butte,2015,Acute Care,716
Butte,2015,Childrens_or_Cancer,10
Butte,2015,Critical Access Hospital,10
Butte,2015,Died,610
Butte,2015,Home Health Service,3313
Butte,2015,Hospice_Care,320
Butte,2015,Invalid or Blank,2
Butte,2015,Left Against Medical Advice,868
Butte,2015,Not_Defined_Elsewhere,26
Butte,2015,Other,6
Butte,2015,Prison/Jail,41
Butte,2015,Psychiatric_Care,111
Butte,2015,Rehab,401
Butte,2015,Residential Care facility,52
Butte,2015,Routine (Home),23536
Butte,2015,Skilled Nursing/Intermediate Care (SN/IC),3273
Butte,2016,Acute Care,685
Butte,2016,Critical Access Hospital,16
Butte,2016,Died,576
Butte,2016,Home Health Service,3099
Butte,2016,Hospice_Care,339
Butte,2016,Left Against Medical Advice,929
Butte,2016,Not_Defined_Elsewhere,42
Butte,2016,Other,6
Butte,2016,Prison/Jail,49
Butte,2016,Psychiatric_Care,120
Butte,2016,Rehab,391
Butte,2016,Residential Care facility,168
Butte,2016,Routine (Home),24569
Butte,2016,Skilled Nursing/Intermediate Care (SN/IC),3293
Butte,2017,Acute Care,735
Butte,2017,Childrens_or_Cancer,1
Butte,2017,Critical Access Hospital,8
Butte,2017,Died,592
Butte,2017,Home Health Service,3194
Butte,2017,Hospice_Care,343
Butte,2017,Left Against Medical Advice,939
Butte,2017,Not_Defined_Elsewhere,36
Butte,2017,Other,4
Butte,2017,Prison/Jail,68
Butte,2017,Psychiatric_Care,133
Butte,2017,Rehab,456
Butte,2017,Residential Care facility,151
Butte,2017,Routine (Home),24578
Butte,2017,Skilled Nursing/Intermediate Care (SN/IC),3605
Butte,2018,Acute Care,796
Butte,2018,Critical Access Hospital,9
Butte,2018,Died,656
Butte,2018,Disaster_Care_Site,58
Butte,2018,Home Health Service,2966
Butte,2018,Hospice_Care,319
Butte,2018,Invalid or Blank,1
Butte,2018,Left Against Medical Advice,1021
Butte,2018,Not_Defined_Elsewhere,21
Butte,2018,Prison/Jail,96
Butte,2018,Psychiatric_Care,82
Butte,2018,Rehab,439
Butte,2018,Residential Care facility,233
Butte,2018,Routine (Home),25114
Butte,2018,Skilled Nursing/Intermediate Care (SN/IC),3658
Calaveras,2012,Acute Care at another hospital,190
Calaveras,2012,Acute Care within the admitting hospital,9
Calaveras,2012,Died,150
Calaveras,2012,Home Health Service,705
Calaveras,2012,Left Against Medical Advice,49
Calaveras,2012,Other,17
Calaveras,2012,Other Care (not SN/IC) at another hospital,42
Calaveras,2012,Other Care with the admitting hospital,12
Calaveras,2012,Prison/Jail,3
Calaveras,2012,Residential Care facility,9
Calaveras,2012,Routine (Home),3277
Calaveras,2012,SN/IC at another facility,478
Calaveras,2012,Skilled Nursing/Intermediate Care (SN/IC) with the admitting hospital,45
Calaveras,2013,Acute Care at another hospital,181
Calaveras,2013,Acute Care within the admitting hospital,7
Calaveras,2013,Died,108
Calaveras,2013,Home Health Service,720
Calaveras,2013,Left Against Medical Advice,47
Calaveras,2013,Other,6
Calaveras,2013,Other Care (not SN/IC) at another hospital,58
Calaveras,2013,Other Care with the admitting hospital,5
Calaveras,2013,Prison/Jail,5
Calaveras,2013,Residential Care facility,23
Calaveras,2013,Routine (Home),3127
Calaveras,2013,SN/IC at another facility,446
Calaveras,2013,Skilled Nursing/Intermediate Care (SN/IC) with the admitting hospital,40
Calaveras,2014,Acute Care at another hospital,204
Calaveras,2014,Acute Care within the admitting hospital,4
Calaveras,2014,Died,104
Calaveras,2014,Home Health Service,676
Calaveras,2014,Invalid,1
Calaveras,2014,Left Against Medical Advice,54
Calaveras,2014,Other,10
Calaveras,2014,Other Care (not SN/IC) at another hospital,54
Calaveras,2014,Other Care with the admitting hospital,6
Calaveras,2014,Prison/Jail,4
Calaveras,2014,Residential Care facility,13
Calaveras,2014,Routine (Home),2962
Calaveras,2014,SN/IC at another facility,448
Calaveras,2014,Skilled Nursing/Intermediate Care (SN/IC) with the admitting hospital,57
Calaveras,2015,Acute Care,151
Calaveras,2015,Childrens_or_Cancer,44
Calaveras,2015,Critical Access Hospital,4
Calaveras,2015,Died,90
Calaveras,2015,Home Health Service,690
Calaveras,2015,Hospice_Care,40
Calaveras,2015,Invalid or Blank,36
Calaveras,2015,Left Against Medical Advice,186
Calaveras,2015,Not_Defined_Elsewhere,8
Calaveras,2015,Other,3
Calaveras,2015,Prison/Jail,1
Calaveras,2015,Psychiatric_Care,6
Calaveras,2015,Rehab,40
Calaveras,2015,Residential Care facility,18
Calaveras,2015,Routine (Home),3090
Calaveras,2015,Skilled Nursing/Intermediate Care (SN/IC),387
Calaveras,2016,Acute Care,242
Calaveras,2016,Childrens_or_Cancer,1
Calaveras,2016,Critical Access Hospital,4
Calaveras,2016,Died,132
Calaveras,2016,Home Health Service,703
Calaveras,2016,Hospice_Care,64
Calaveras,2016,Left Against Medical Advice,63
Calaveras,2016,Not_Defined_Elsewhere,7
Calaveras,2016,Other,1
Calaveras,2016,Prison/Jail,5
Calaveras,2016,Psychiatric_Care,12
Calaveras,2016,Rehab,25
Calaveras,2016,Residential Care facility,18
Calaveras,2016,Routine (Home),2909
Calaveras,2016,Skilled Nursing/Intermediate Care (SN/IC),488
Calaveras,2017,Acute Care,194
Calaveras,2017,Childrens_or_Cancer,3
Calaveras,2017,Critical Access Hospital,1
Calaveras,2017,Died,133
Calaveras,2017,Home Health Service,706
Calaveras,2017,Hospice_Care,75
Calaveras,2017,Invalid or Blank,1
Calaveras,2017,Left Against Medical Advice,77
Calaveras,2017,Not_Defined_Elsewhere,5
Calaveras,2017,Prison/Jail,4
Calaveras,2017,Psychiatric_Care,13
Calaveras,2017,Rehab,46
Calaveras,2017,Residential Care facility,21
Calaveras,2017,Routine (Home),3027
Calaveras,2017,Skilled Nursing/Intermediate Care (SN/IC),605
Calaveras,2018,Acute Care,199
Calaveras,2018,Childrens_or_Cancer,2
Calaveras,2018,Critical Access Hospital,3
Calaveras,2018,Died,142
Calaveras,2018,Home Health Service,689
Calaveras,2018,Hospice_Care,70
Calaveras,2018,Left Against Medical Advice,53
Calaveras,2018,Not_Defined_Elsewhere,5
Calaveras,2018,Prison/Jail,2
Calaveras,2018,Psychiatric_Care,15
Calaveras,2018,Rehab,46
Calaveras,2018,Residential Care facility,15
Calaveras,2018,Routine (Home),2968
Calaveras,2018,Skilled Nursing/Intermediate Care (SN/IC),589
Colusa,2012,Acute Care at another hospital,82
Colusa,2012,Acute Care within the admitting hospital,5
Colusa,2012,Died,46
Colusa,2012,Home Health Service,247
Colusa,2012,Left Against Medical Advice,14
Colusa,2012,Other,4
Colusa,2012,Other Care (not SN/IC) at another hospital,6
Colusa,2012,Other Care with the admitting hospital,13
Colusa,2012,Residential Care facility,7
Colusa,2012,Routine (Home),1707
Colusa,2012,SN/IC at another facility,140
Colusa,2012,Skilled Nursing/Intermediate Care (SN/IC) with the admitting hospital,78
Colusa,2013,Acute Care at another hospital,75
Colusa,2013,Acute Care within the admitting hospital,6
Colusa,2013,Died,42
Colusa,2013,Home Health Service,247
Colusa,2013,Left Against Medical Advice,27
Colusa,2013,Other,6
Colusa,2013,Other Care (not SN/IC) at another hospital,4
Colusa,2013,Other Care with the admitting hospital,13
Colusa,2013,Residential Care facility,6
Colusa,2013,Routine (Home),1589
Colusa,2013,SN/IC at another facility,136
Colusa,2013,Skilled Nursing/Intermediate Care (SN/IC) with the admitting hospital,58
Colusa,2014,Acute Care at another hospital,84
Colusa,2014,Acute Care within the admitting hospital,12
Colusa,2014,Died,32
Colusa,2014,Home Health Service,241
Colusa,2014,Left Against Medical Advice,30
Colusa,2014,Other,5
Colusa,2014,Other Care (not SN/IC) at another hospital,8
Colusa,2014,Other Care with the admitting hospital,9
Colusa,2014,Prison/Jail,4
Colusa,2014,Residential Care facility,2
Colusa,2014,Routine (Home),1547
Colusa,2014,SN/IC at another facility,148
Colusa,2014,Skilled Nursing/Intermediate Care (SN/IC) with the admitting hospital,73
Colusa,2015,Acute Care,82
Colusa,2015,Childrens_or_Cancer,1
Colusa,2015,Died,44
Colusa,2015,Home Health Service,237
Colusa,2015,Hospice_Care,22
Colusa,2015,Invalid or Blank,1
Colusa,2015,Left Against Medical Advice,17
Colusa,2015,Not_Defined_Elsewhere,3
Colusa,2015,Prison/Jail,1
Colusa,2015,Psychiatric_Care,1
Colusa,2015,Rehab,19
Colusa,2015,Residential Care facility,1
Colusa,2015,Routine (Home),1508
Colusa,2015,Skilled Nursing/Intermediate Care (SN/IC),223
Colusa,2016,Acute Care,45
Colusa,2016,Critical Access Hospital,1
Colusa,2016,Died,44
Colusa,2016,Home Health Service,203
Colusa,2016,Hospice_Care,11
Colusa,2016,Left Against Medical Advice,22
Colusa,2016,Not_Defined_Elsewhere,8
Colusa,2016,Prison/Jail,2
Colusa,2016,Psychiatric_Care,3
Colusa,2016,Rehab,16
Colusa,2016,Residential Care facility,2
Colusa,2016,Routine (Home),1509
Colusa,2016,Skilled Nursing/Intermediate Care (SN/IC),186
Colusa,2017,Acute Care,34
Colusa,2017,Died,44
Colusa,2017,Home Health Service,206
Colusa,2017,Hospice_Care,17
Colusa,2017,Left Against Medical Advice,28
Colusa,2017,Not_Defined_Elsewhere,4
Colusa,2017,Psychiatric_Care,3
Colusa,2017,Rehab,17
Colusa,2017,Residential Care facility,4
Colusa,2017,Routine (Home),1517
Colusa,2017,Skilled Nursing/Intermediate Care (SN/IC),157
Colusa,2018,Acute Care,94
Colusa,2018,Childrens_or_Cancer,1
Colusa,2018,Died,49
Colusa,2018,Home Health Service,176
Colusa,2018,Hospice_Care,19
Colusa,2018,Left Against Medical Advice,33
Colusa,2018,Not_Defined_Elsewhere,1
Colusa,2018,Prison/Jail,6
Colusa,2018,Psychiatric_Care,3
Colusa,2018,Rehab,19
Colusa,2018,Residential Care facility,1
Colusa,2018,Routine (Home),1743
Colusa,2018,Skilled Nursing/Intermediate Care (SN/IC),222
Contra Costa,2012,Acute Care at another hospital,2287
Contra Costa,2012,Acute Care within the admitting hospital,121
Contra Costa,2012,Died,2022
Contra Costa,2012,Home Health Service,11309
Contra Costa,2012,Invalid,4
Contra Costa,2012,Left Against Medical Advice,973
Contra Costa,2012,Other,178
Contra Costa,2012,Other Care (not SN/IC) at another hospital,921
Contra Costa,2012,Other Care with the admitting hospital,477
Contra Costa,2012,Prison/Jail,142
Contra Costa,2012,Residential Care facility,1232
Contra Costa,2012,Routine (Home),73331
Contra Costa,2012,SN/IC at another facility,9422
Contra Costa,2012,Skilled Nursing/Intermediate Care (SN/IC) with the admitting hospital,114
Contra Costa,2013,Acute Care at another hospital,2187
Contra Costa,2013,Acute Care within the admitting hospital,107
Contra Costa,2013,Died,1906
Contra Costa,2013,Home Health Service,10986
Contra Costa,2013,Invalid,7
Contra Costa,2013,Left Against Medical Advice,832
Contra Costa,2013,Other,190
Contra Costa,2013,Other Care (not SN/IC) at another hospital,848
Contra Costa,2013,Other Care with the admitting hospital,419
Contra Costa,2013,Prison/Jail,140
Contra Costa,2013,Residential Care facility,898
Contra Costa,2013,Routine (Home),72197
Contra Costa,2013,SN/IC at another facility,9075
Contra Costa,2013,Skilled Nursing/Intermediate Care (SN/IC) with the admitting hospital,118
Contra Costa,2014,Acute Care at another hospital,2207
Contra Costa,2014,Acute Care within the admitting hospital,73
Contra Costa,2014,Died,1885
Contra Costa,2014,Home Health Service,13004
Contra Costa,2014,Invalid,12
Contra Costa,2014,Left Against Medical Advice,726
Contra Costa,2014,Other,251
Contra Costa,2014,Other Care (not SN/IC) at another hospital,938
Contra Costa,2014,Other Care with the admitting hospital,416
Contra Costa,2014,Prison/Jail,113
Contra Costa,2014,Residential Care facility,886
Contra Costa,2014,Routine (Home),69354
Contra Costa,2014,SN/IC at another facility,8692
Contra Costa,2014,Skilled Nursing/Intermediate Care (SN/IC) with the admitting hospital,54
Contra Costa,2015,Acute Care,2270
Contra Costa,2015,Childrens_or_Cancer,83
Contra Costa,2015,Critical Access Hospital,21
Contra Costa,2015,Died,2130
Contra Costa,2015,Disaster_Care_Site,5
Contra Costa,2015,Home Health Service,15416
Contra Costa,2015,Hospice_Care,1403
Contra Costa,2015,Invalid or Blank,15
Contra Costa,2015,Left Against Medical Advice,961
Contra Costa,2015,Not_Defined_Elsewhere,179
Contra Costa,2015,Other,24
Contra Costa,2015,Prison/Jail,104
Contra Costa,2015,Psychiatric_Care,348
Contra Costa,2015,Rehab,764
Contra Costa,2015,Residential Care facility,378
Contra Costa,2015,Routine (Home),69290
Contra Costa,2015,Skilled Nursing/Intermediate Care (SN/IC),8856
Contra Costa,2016,Acute Care,2386
Contra Costa,2016,Childrens_or_Cancer,56
Contra Costa,2016,Critical Access Hospital,14
Contra Costa,2016,Died,1943
Contra Costa,2016,Disaster_Care_Site,5
Contra Costa,2016,Home Health Service,15835
Contra Costa,2016,Hospice_Care,1255
Contra Costa,2016,Invalid or Blank,3
Contra Costa,2016,Left Against Medical Advice,1012
Contra Costa,2016,Not_Defined_Elsewhere,188
Contra Costa,2016,Other,25
Contra Costa,2016,Prison/Jail,95
Contra Costa,2016,Psychiatric_Care,313
Contra Costa,2016,Rehab,744
Contra Costa,2016,Residential Care facility,240
Contra Costa,2016,Routine (Home),66093
Contra Costa,2016,Skilled Nursing/Intermediate Care (SN/IC),8540
Contra Costa,2017,Acute Care,2604
Contra Costa,2017,Childrens_or_Cancer,27
Contra Costa,2017,Critical Access Hospital,10
Contra Costa,2017,Died,2097
Contra Costa,2017,Disaster_Care_Site,1
Contra Costa,2017,Home Health Service,16779
Contra Costa,2017,Hospice_Care,1372
Contra Costa,2017,Invalid or Blank,3
Contra Costa,2017,Left Against Medical Advice,1004
Contra Costa,2017,Not_Defined_Elsewhere,121
Contra Costa,2017,Other,18
Contra Costa,2017,Prison/Jail,104
Contra Costa,2017,Psychiatric_Care,293
Contra Costa,2017,Rehab,752
Contra Costa,2017,Residential Care facility,322
Contra Costa,2017,Routine (Home),65451
Contra Costa,2017,Skilled Nursing/Intermediate Care (SN/IC),8724
Contra Costa,2018,Acute Care,2802
Contra Costa,2018,Childrens_or_Cancer,25
Contra Costa,2018,Critical Access Hospital,10
Contra Costa,2018,Died,1980
Contra Costa,2018,Home Health Service,16972
Contra Costa,2018,Hospice_Care,1288
Contra Costa,2018,Invalid or Blank,1
Contra Costa,2018,Left Against Medical Advice,957
Contra Costa,2018,Not_Defined_Elsewhere,72
Contra Costa,2018,Other,31
Contra Costa,2018,Prison/Jail,116
Contra Costa,2018,Psychiatric_Care,291
Contra Costa,2018,Rehab,848
Contra Costa,2018,Residential Care facility,454
Contra Costa,2018,Routine (Home),63117
Contra Costa,2018,Skilled Nursing/Intermediate Care (SN/IC),9000
Del Norte,2012,Acute Care at another hospital,82
Del Norte,2012,Acute Care within the admitting hospital,3
Del Norte,2012,Died,65
Del Norte,2012,Home Health Service,188
Del Norte,2012,Invalid,2
Del Norte,2012,Left Against Medical Advice,23
Del Norte,2012,Other,1
Del Norte,2012,Other Care (not SN/IC) at another hospital,11
Del Norte,2012,Other Care with the admitting hospital,7
Del Norte,2012,Prison/Jail,15
Del Norte,2012,Residential Care facility,6
Del Norte,2012,Routine (Home),1858
Del Norte,2012,SN/IC at another facility,195
Del Norte,2012,Skilled Nursing/Intermediate Care (SN/IC) with the admitting hospital,7
Del Norte,2013,Acute Care at another hospital,99
Del Norte,2013,Died,64
Del Norte,2013,Home Health Service,271
Del Norte,2013,Left Against Medical Advice,23
Del Norte,2013,Other,1
Del Norte,2013,Other Care (not SN/IC) at another hospital,20
Del Norte,2013,Other Care with the admitting hospital,7
Del Norte,2013,Prison/Jail,29
Del Norte,2013,Residential Care facility,2
Del Norte,2013,Routine (Home),1753
Del Norte,2013,SN/IC at another facility,200
Del Norte,2013,Skilled Nursing/Intermediate Care (SN/IC) with the admitting hospital,2
Del Norte,2014,Acute Care at another hospital,108
Del Norte,2014,Acute Care within the admitting hospital,3
Del Norte,2014,Died,73
Del Norte,2014,Home Health Service,252
Del Norte,2014,Invalid,1
Del Norte,2014,Left Against Medical Advice,18
Del Norte,2014,Other,4
Del Norte,2014,Other Care (not SN/IC) at another hospital,28
Del Norte,2014,Other Care with the admitting hospital,7
Del Norte,2014,Prison/Jail,18
Del Norte,2014,Residential Care facility,6
Del Norte,2014,Routine (Home),1735
Del Norte,2014,SN/IC at another facility,193
Del Norte,2014,Skilled Nursing/Intermediate Care (SN/IC) with the admitting hospital,1
Del Norte,2015,Acute Care,121
Del Norte,2015,Childrens_or_Cancer,3
Del Norte,2015,Critical Access Hospital,1
Del Norte,2015,Died,70
Del Norte,2015,Home Health Service,241
